GameNumber,GAME_DATE,MATCHUP,WL,PTS,PointDiff
1,2024-10-22,LAL vs. MIN,W,110,7
2,2024-10-25,LAL vs. PHX,W,123,7
3,2024-10-26,LAL vs. SAC,W,131,4
4,2024-10-28,LAL @ PHX,L,105,-4
5,2024-10-30,LAL @ CLE,L,110,-24
6,2024-11-01,LAL @ TOR,W,131,6
7,2024-11-04,LAL @ DET,L,103,-12
8,2024-11-06,LAL @ MEM,L,114,-17
9,2024-11-08,LAL vs. PHI,W,116,10
10,2024-11-10,LAL vs. TOR,W,123,20
11,2024-11-13,LAL vs. MEM,W,128,5
12,2024-11-15,LAL @ SAS,W,120,5
13,2024-11-16,LAL @ NOP,W,104,5
14,2024-11-19,LAL vs. UTA,W,124,6
15,2024-11-21,LAL vs. ORL,L,118,-1
16,2024-11-23,LAL vs. DEN,L,102,-25
17,2024-11-26,LAL @ PHX,L,100,-27
18,2024-11-27,LAL @ SAS,W,119,18
19,2024-11-29,LAL vs. OKC,L,93,-8
20,2024-12-01,LAL @ UTA,W,105,1
21,2024-12-02,LAL @ MIN,L,80,-29
22,2024-12-04,LAL @ MIA,L,93,-41
23,2024-12-06,LAL @ ATL,L,132,-2
24,2024-12-08,LAL vs. POR,W,107,9
25,2024-12-13,LAL @ MIN,L,87,-10
26,2024-12-15,LAL vs. MEM,W,116,6
27,2024-12-19,LAL @ SAC,W,113,13
28,2024-12-21,LAL @ SAC,W,103,4
29,2024-12-23,LAL vs. DET,L,114,-3
30,2024-12-25,LAL @ GSW,W,115,2
31,2024-12-28,LAL vs. SAC,W,132,10
32,2024-12-31,LAL vs. CLE,L,110,-12
33,2025-01-02,LAL vs. POR,W,114,8
34,2025-01-03,LAL vs. ATL,W,119,17
35,2025-01-05,LAL @ HOU,L,115,-4
36,2025-01-07,LAL @ DAL,L,97,-21
37,2025-01-13,LAL vs. SAS,L,102,-24
38,2025-01-15,LAL vs. MIA,W,117,9
39,2025-01-17,LAL vs. BKN,W,102,1
40,2025-01-19,LAL @ LAC,L,102,-14
41,2025-01-21,LAL vs. WAS,W,111,23
42,2025-01-23,LAL vs. BOS,W,117,21
43,2025-01-25,LAL @ GSW,W,118,10
44,2025-01-27,LAL @ CHA,W,112,5
45,2025-01-28,LAL @ PHI,L,104,-14
46,2025-01-30,LAL @ WAS,W,134,38
47,2025-02-01,LAL @ NYK,W,128,16
48,2025-02-04,LAL @ LAC,W,122,25
49,2025-02-06,LAL vs. GSW,W,120,8
50,2025-02-08,LAL vs. IND,W,124,7
51,2025-02-10,LAL vs. UTA,W,132,19
52,2025-02-12,LAL @ UTA,L,119,-12
53,2025-02-19,LAL vs. CHA,L,97,-3
54,2025-02-20,LAL @ POR,W,110,8
55,2025-02-22,LAL @ DEN,W,123,23
56,2025-02-25,LAL vs. DAL,W,107,8
57,2025-02-27,LAL vs. MIN,W,111,9
58,2025-02-28,LAL vs. LAC,W,106,4
59,2025-03-02,LAL vs. LAC,W,108,6
60,2025-03-04,LAL vs. NOP,W,136,21
61,2025-03-06,LAL vs. NYK,W,113,4
62,2025-03-08,LAL @ BOS,L,101,-10
63,2025-03-10,LAL @ BKN,L,108,-3
64,2025-03-13,LAL @ MIL,L,106,-20
65,2025-03-14,LAL @ DEN,L,126,-5
66,2025-03-16,LAL vs. PHX,W,107,11
67,2025-03-17,LAL vs. SAS,W,125,16
68,2025-03-19,LAL vs. DEN,W,120,12
69,2025-03-20,LAL vs. MIL,L,89,-29
70,2025-03-22,LAL vs. CHI,L,115,-31
71,2025-03-24,LAL @ ORL,L,106,-12
72,2025-03-26,LAL @ IND,W,120,1
73,2025-03-27,LAL @ CHI,L,117,-2
74,2025-03-29,LAL @ MEM,W,134,7
75,2025-03-31,LAL vs. HOU,W,104,6
76,2025-04-03,LAL vs. GSW,L,116,-7
77,2025-04-04,LAL vs. NOP,W,124,16
78,2025-04-06,LAL @ OKC,W,126,27
79,2025-04-08,LAL @ OKC,L,120,-16
80,2025-04-09,LAL @ DAL,W,112,15
81,2025-04-11,LAL vs. HOU,W,140,31
82,2025-04-13,LAL @ POR,L,81,-28
