TEAM_NAME,YEAR,CONF_RANK,Conference
Hawks,2010,5,East
Hawks,2011,5,East
Hawks,2012,6,East
Hawks,2013,8,East
Hawks,2014,1,East
Hawks,2015,4,East
Hawks,2016,5,East
Hawks,2017,15,East
Hawks,2018,12,East
Hawks,2019,14,East
Hawks,2020,5,East
Hawks,2021,9,East
Hawks,2022,8,East
Hawks,2023,10,East
Hawks,2024,8,East
Celtics,2010,3,East
Celtics,2011,4,East
Celtics,2012,7,East
Celtics,2013,12,East
Celtics,2014,7,East
Celtics,2015,5,East
Celtics,2016,1,East
Celtics,2017,2,East
Celtics,2018,4,East
Celtics,2019,3,East
Celtics,2020,7,East
Celtics,2021,2,East
Celtics,2022,2,East
Celtics,2023,1,East
Celtics,2024,2,East
Cavaliers,2010,15,East
Cavaliers,2011,13,East
Cavaliers,2012,13,East
Cavaliers,2013,10,East
Cavaliers,2014,2,East
Cavaliers,2015,1,East
Cavaliers,2016,2,East
Cavaliers,2017,4,East
Cavaliers,2018,14,East
Cavaliers,2019,15,East
Cavaliers,2020,13,East
Cavaliers,2021,8,East
Cavaliers,2022,4,East
Cavaliers,2023,4,East
Cavaliers,2024,1,East
Hornets,2010,7,East
Hornets,2011,15,East
Hornets,2012,14,East
Pelicans,2013,12,West
Pelicans,2014,8,West
Pelicans,2015,12,West
Pelicans,2016,10,West
Pelicans,2017,6,West
Pelicans,2018,13,West
Pelicans,2019,13,West
Pelicans,2020,11,West
Pelicans,2021,9,West
Pelicans,2022,9,West
Pelicans,2023,7,West
Pelicans,2024,14,West
Bulls,2010,1,East
Bulls,2011,1,East
Bulls,2012,5,East
Bulls,2013,4,East
Bulls,2014,3,East
Bulls,2015,9,East
Bulls,2016,8,East
Bulls,2017,13,East
Bulls,2018,13,East
Bulls,2019,11,East
Bulls,2020,11,East
Bulls,2021,6,East
Bulls,2022,10,East
Bulls,2023,9,East
Bulls,2024,9,East
Mavericks,2010,3,West
Mavericks,2011,7,West
Mavericks,2012,10,West
Mavericks,2013,8,West
Mavericks,2014,7,West
Mavericks,2015,6,West
Mavericks,2016,11,West
Mavericks,2017,13,West
Mavericks,2018,14,West
Mavericks,2019,7,West
Mavericks,2020,5,West
Mavericks,2021,4,West
Mavericks,2022,11,West
Mavericks,2023,5,West
Mavericks,2024,10,West
Nuggets,2010,5,West
Nuggets,2011,6,West
Nuggets,2012,3,West
Nuggets,2013,11,West
Nuggets,2014,12,West
Nuggets,2015,11,West
Nuggets,2016,9,West
Nuggets,2017,9,West
