Year,Team,Salary,Conference,Division
2010,Lakers,91428140,West,Pacific
2010,Magic,90770804,East,Southeast
2010,Mavericks,85409890,West,Southwest
2010,Celtics,82045867,East,Atlantic
2010,Jazz,75855296,West,Northwest
2010,Trail Blazers,74584058,West,Northwest
2010,Rockets,72315654,West,Southwest
2010,Hawks,71469843,East,Southeast
2010,Grizzlies,70241344,West,Southwest
2010,Raptors,69992648,East,Atlantic
2010,Spurs,69522311,West,Southwest
2010,Bucks,69076690,East,Central
2010,76ers,68915246,East,Atlantic
2010,Warriors,68415336,West,Pacific
2010,Hornets,68230729,West,Southwest
2010,Nuggets,68019290,West,Northwest
2010,Knicks,67016562,East,Atlantic
2010,Bobcats,66542696,East,Southeast
2010,Heat,66205855,East,Southeast
2010,Suns,65979054,West,Pacific
2010,Pistons,65517821,East,Central
2010,Pacers,65088630,East,Central
2010,Nets,58495989,East,Atlantic
2010,Wizards,58324988,East,Southeast
2010,Thunder,55922488,West,Northwest
2010,Bulls,54538076,East,Central
2010,Cavaliers,53990021,East,Central
2010,Timberwolves,53461123,West,Northwest
2010,Clippers,53225329,West,Pacific
2010,Kings,45268465,West,Pacific
2011,Lakers,88264478,West,Pacific
2011,Magic,87955505,East,Southeast
2011,Trail Blazers,80920717,West,Northwest
2011,Suns,80640576,West,Pacific
2011,Celtics,79820530,East,Atlantic
2011,Mavericks,77180233,West,Southwest
2011,Knicks,77093212,East,Atlantic
2011,Heat,75469639,East,Southeast
2011,Spurs,73732762,West,Southwest
2011,Hawks,73669912,East,Southeast
2011,Pistons,70923605,East,Central
2011,Grizzlies,70628007,West,Southwest
2011,Bulls,69548447,East,Central
2011,Clippers,67333389,West,Pacific
2011,76ers,66672368,East,Atlantic
2011,Hornets,65441008,West,Southwest
2011,Nets,65281235,East,Atlantic
2011,Cavaliers,64875599,East,Central
2011,Warriors,61576901,West,Pacific
2011,Bucks,60192388,East,Central
2011,Thunder,59501709,West,Northwest
2011,Nuggets,58553173,West,Northwest
2011,Jazz,58178016,West,Northwest
2011,Bobcats,57902024,East,Southeast
2011,Rockets,57021755,West,Southwest
2011,Timberwolves,56844339,West,Northwest
2011,Wizards,55386345,East,Southeast
2011,Raptors,55063049,East,Atlantic
2011,Pacers,51554083,East,Central
2011,Kings,48950236,West,Pacific
2012,Lakers,100131988,West,Pacific
2012,Nets,87644649,East,Atlantic
2012,Magic,87365418,East,Southeast
2012,76ers,82758193,East,Atlantic
2012,Heat,80427933,East,Southeast
2012,Knicks,79977119,East,Atlantic
2012,Trail Blazers,75802401,West,Northwest
2012,Celtics,75508399,East,Atlantic
2012,Bulls,74491280,East,Central
2012,Clippers,73152721,West,Pacific
2012,Warriors,70036985,West,Pacific
2012,Spurs,69838600,West,Southwest
2012,Mavericks,69766571,West,Southwest
2012,Timberwolves,69557748,West,Northwest
2012,Cavaliers,69322190,East,Central
2012,Thunder,68924100,West,Northwest
2012,Pistons,68807497,East,Central
2012,Nuggets,67970254,West,Northwest
2012,Wizards,66834041,East,Southeast
2012,Hawks,66710178,East,Southeast
2012,Pacers,66107195,East,Central
2012,Jazz,65657569,West,Northwest
2012,Hornets,64134537,West,Southwest
2012,Raptors,63708138,East,Atlantic
2012,Grizzlies,63054115,West,Southwest
2012,Bucks,62410041,East,Central
2012,Suns,60696264,West,Pacific
2012,Bobcats,58122566,East,Southeast
2012,Kings,54421935,West,Pacific
2012,Rockets,48048265,West,Southwest
2013,Nets,102589967,East,Atlantic
2013,Knicks,89072787,East,Atlantic
2013,Heat,87041617,East,Southeast
2013,Lakers,85150894,West,Pacific
2013,Magic,79294567,East,Southeast
2013,Trail Blazers,79039808,West,Northwest
2013,Mavericks,75012158,West,Southwest
2013,Bulls,73336893,East,Central
2013,Clippers,73049774,West,Pacific
2013,Warriors,72503122,West,Pacific
2013,Wizards,72493743,East,Southeast
2013,Grizzlies,71992885,West,Southwest
2013,Thunder,71653401,West,Northwest
2013,Raptors,71561643,East,Atlantic
2013,Celtics,70885503,East,Atlantic
2013,Nuggets,70600065,West,Northwest
2013,Bobcats,69089866,East,Southeast
2013,Timberwolves,68564040,West,Northwest
2013,Pelicans,67358651,West,Southwest
2013,Pacers,67182414,East,Central
2013,Cavaliers,66654061,East,Central
