Team,Salary24,Salary25
76ers,171336738,211642662
Bucks,182559432,182257688
Bulls,165722496,178730898
Cavaliers,165110486,232186043
Celtics,195348491,208742059
Clippers,174124752,207127828
Grizzlies,165903638,179780312
Hawks,170057021,187863320
Heat,176102077,194183038
Hornets,168575524,184923157
Jazz,154060898,150348339
Kings,167811057,195240361
Knicks,191906878,220677525
Lakers,192057940,210345942
Magic,152308863,205811992
Mavericks,174411922,218438137
Nets,168312896,141447882
Nuggets,185864258,197664737
Pacers,169543082,193985600
Pelicans,172778396,189381067
Pistons,140501660,175966727
Raptors,170516134,192314366
Rockets,163038023,201150043
Spurs,162395330,193196483
Suns,220708856,196857419
Thunder,166418720,190199275
Timberwolves,203708244,216410025
Trail Blazers,167012048,192325301
Warriors,170316619,209670747
Wizards,173806822,161863952
