Player,Salary,Age,Team,Conference,Rank
Darius Garland,36725670,25,Cleveland Cavaliers,East,1
Donovan Mitchell,35410310,28,Cleveland Cavaliers,East,1
De'Andre Hunter,21696429,27,Cleveland Cavaliers,East,1
Jarrett Allen,20000000,26,Cleveland Cavaliers,East,1
Max Strus,15212068,28,Cleveland Cavaliers,East,1
Evan Mobley,11227657,23,Cleveland Cavaliers,East,1
Isaac Okoro,10185186,24,Cleveland Cavaliers,East,1
Dean Wade,6166667,28,Cleveland Cavaliers,East,1
Jaylon Tyson,3326160,22,Cleveland Cavaliers,East,1
Ty Jerome,2560975,27,Cleveland Cavaliers,East,1
Javonte Green,2328350,31,Cleveland Cavaliers,East,1
Sam Merrill,2164993,28,Cleveland Cavaliers,East,1
Tristan Thompson,2087519,33,Cleveland Cavaliers,East,1
Craig Porter Jr.,1891857,24,Cleveland Cavaliers,East,1
Chuma Okeke,355687,26,Cleveland Cavaliers,East,1
Nae'Qwan Tomlin,66503,24,Cleveland Cavaliers,East,1
Jaylen Brown,49205800,28,Boston Celtics,East,2
Jayson Tatum,34848340,26,Boston Celtics,East,2
Jrue Holiday,30000000,34,Boston Celtics,East,2
Kristaps Porzingis,29268293,29,Boston Celtics,East,2
Derrick White,20071429,30,Boston Celtics,East,2
Al Horford,9500000,38,Boston Celtics,East,2
Payton Pritchard,6696429,27,Boston Celtics,East,2
Torrey Craig,3625162,34,Boston Celtics,East,2
Baylor Scheierman,2494320,24,Boston Celtics,East,2
Xavier Tillman Sr.,2237691,26,Boston Celtics,East,2
Neemias Queta,2162606,25,Boston Celtics,East,2
Sam Hauser,2092344,27,Boston Celtics,East,2
Luke Kornet,2087519,29,Boston Celtics,East,2
Jordan Walsh,1891857,20,Boston Celtics,East,2
JD Davison,11997,22,Boston Celtics,East,2
Karl-Anthony Towns,49205800,29,New York Knicks,East,3
OG Anunoby,36637932,27,New York Knicks,East,3
Jalen Brunson,24960001,28,New York Knicks,East,3
Mikal Bridges,23300000,28,New York Knicks,East,3
Josh Hart,18144000,29,New York Knicks,East,3
Mitchell Robinson,14318182,26,New York Knicks,East,3
P.J. Tucker,12025777,39,New York Knicks,East,3
Precious Achiuwa,6000000,25,New York Knicks,East,3
Miles McBride,4710144,24,New York Knicks,East,3
MarJon Beauchamp,2733720,24,New York Knicks,East,3
Tyler Kolek,2087519,23,New York Knicks,East,3
Cameron Payne,2087519,30,New York Knicks,East,3
Delon Wright,2087519,32,New York Knicks,East,3
Pacome Dadiet,1808080,19,New York Knicks,East,3
Landry Shamet,1343690,27,New York Knicks,East,3
Ariel Hukporti,1064049,22,New York Knicks,East,3
Matt Ryan,621439,27,New York Knicks,East,3
Tyrese Haliburton,42176400,24,Indiana Pacers,East,4
Pascal Siakam,42176400,30,Indiana Pacers,East,4
Myles Turner,19928500,28,Indiana Pacers,East,4
Obi Toppin,12975000,26,Indiana Pacers,East,4
Aaron Nesmith,11000000,25,Indiana Pacers,East,4
T.J. McConnell,9300000,32,Indiana Pacers,East,4
Bennedict Mathurin,7245720,22,Indiana Pacers,East,4
