Team,Year,TradeCount
Philadelphia 76ers,2000,1
Philadelphia 76ers,2001,5
Philadelphia 76ers,2002,5
Philadelphia 76ers,2003,4
Philadelphia 76ers,2004,3
Philadelphia 76ers,2005,4
Philadelphia 76ers,2006,5
Philadelphia 76ers,2007,6
Philadelphia 76ers,2008,1
Philadelphia 76ers,2009,1
Philadelphia 76ers,2010,3
Philadelphia 76ers,2012,6
Philadelphia 76ers,2013,7
Philadelphia 76ers,2014,15
Philadelphia 76ers,2015,8
Philadelphia 76ers,2016,3
Philadelphia 76ers,2017,8
Philadelphia 76ers,2018,8
Philadelphia 76ers,2019,9
Philadelphia 76ers,2020,5
Philadelphia 76ers,2021,2
Philadelphia 76ers,2022,2
Philadelphia 76ers,2023,2
Philadelphia 76ers,2024,5
Philadelphia 76ers,2025,3
Portland Trail Blazers,2000,2
Portland Trail Blazers,2001,3
Portland Trail Blazers,2002,1
Portland Trail Blazers,2003,1
Portland Trail Blazers,2004,4
Portland Trail Blazers,2005,2
Portland Trail Blazers,2006,8
Portland Trail Blazers,2007,4
Portland Trail Blazers,2008,6
Portland Trail Blazers,2009,3
Portland Trail Blazers,2010,4
Portland Trail Blazers,2011,3
Portland Trail Blazers,2012,5
Portland Trail Blazers,2013,5
Portland Trail Blazers,2015,6
Portland Trail Blazers,2016,4
Portland Trail Blazers,2017,5
Portland Trail Blazers,2018,2
Portland Trail Blazers,2019,5
Portland Trail Blazers,2020,4
Portland Trail Blazers,2021,3
Portland Trail Blazers,2022,5
Portland Trail Blazers,2023,4
Portland Trail Blazers,2024,5
Portland Trail Blazers,2025,2
Milwaukee Bucks,2000,4
Milwaukee Bucks,2001,2
Milwaukee Bucks,2002,3
Milwaukee Bucks,2003,3
Milwaukee Bucks,2004,2
Milwaukee Bucks,2005,4
Milwaukee Bucks,2006,4
Milwaukee Bucks,2007,1
Milwaukee Bucks,2008,2
Milwaukee Bucks,2009,5
Milwaukee Bucks,2010,6
Milwaukee Bucks,2011,2
Milwaukee Bucks,2012,2
Milwaukee Bucks,2013,7
Milwaukee Bucks,2014,3
Milwaukee Bucks,2015,5
Milwaukee Bucks,2016,4
Milwaukee Bucks,2017,5
Milwaukee Bucks,2018,3
Milwaukee Bucks,2019,3
Milwaukee Bucks,2020,3
Milwaukee Bucks,2021,4
Milwaukee Bucks,2022,2
Milwaukee Bucks,2023,3
Milwaukee Bucks,2024,2
Milwaukee Bucks,2025,3
Chicago Bulls,2000,3
Chicago Bulls,2001,6
Chicago Bulls,2002,2
Chicago Bulls,2003,3
Chicago Bulls,2004,3
Chicago Bulls,2005,1
Chicago Bulls,2006,5
Chicago Bulls,2008,2
Chicago Bulls,2009,3
Chicago Bulls,2010,7
Chicago Bulls,2011,2
Chicago Bulls,2012,1
Chicago Bulls,2014,5
Chicago Bulls,2016,6
Chicago Bulls,2017,4
Chicago Bulls,2018,4
Chicago Bulls,2019,6
Chicago Bulls,2021,6
Chicago Bulls,2023,1
Chicago Bulls,2024,2
Chicago Bulls,2025,4
Cleveland Cavaliers,2000,4
Cleveland Cavaliers,2001,4
Cleveland Cavaliers,2002,4
Cleveland Cavaliers,2003,2
Cleveland Cavaliers,2004,5
Cleveland Cavaliers,2005,3
Cleveland Cavaliers,2006,4
Cleveland Cavaliers,2007,1
Cleveland Cavaliers,2008,4
Cleveland Cavaliers,2009,2
Cleveland Cavaliers,2010,3
Cleveland Cavaliers,2011,4
Cleveland Cavaliers,2012,3
Cleveland Cavaliers,2013,2
Cleveland Cavaliers,2014,9
Cleveland Cavaliers,2015,5
Cleveland Cavaliers,2016,6
Cleveland Cavaliers,2017,5
Cleveland Cavaliers,2018,6
Cleveland Cavaliers,2019,4
Cleveland Cavaliers,2020,4
Cleveland Cavaliers,2021,5
Cleveland Cavaliers,2022,4
Cleveland Cavaliers,2023,2
Cleveland Cavaliers,2025,2
Boston Celtics,2000,3
Boston Celtics,2001,1
Boston Celtics,2002,2
Boston Celtics,2003,6
Boston Celtics,2004,3
Boston Celtics,2005,5
Boston Celtics,2006,5
Boston Celtics,2007,2
Boston Celtics,2008,1
Boston Celtics,2009,2
Boston Celtics,2010,1
Boston Celtics,2011,6
Boston Celtics,2012,1
Boston Celtics,2013,5
Boston Celtics,2014,7
Boston Celtics,2015,9
Boston Celtics,2016,1
Boston Celtics,2017,3
Boston Celtics,2018,1
Boston Celtics,2019,4
